Tom has two girlfriends.	Tom tiene dos novias.
What was I supposed to do?	¿Que deberia haber hecho?
I heard an unusual sound.	Oi un ruido extrano.
I'm leaving on Sunday.	Me voy el domingo.
They fled in all directions.	Huyeron en todas direcciones.
Space travel was thought to be impossible.	Se pensaba que los viajes espaciales eran imposibles.
No one's listening.	Nadie esta escuchando.
I bought a pen for your birthday present.	Compre un boligrafo como regalo para tu cumpleanos.
I lost sight of my friends.	Perdi de vista a mis amigos.
Have you known her since 1990?	¿La conoces desde 1990?
The visitor sat across from me.	El visitante se sento en frente de mi.
I'm proud of you.	Estoy orgulloso de vosotros.
Tom is an arrogant idiot.	Tom es un idiota arrogante.
No one could solve the problem.	Nadie pudo resolver el problema.
Did you enjoy yourself at the theater?	¿Te divertiste en el teatro?
Tom looks tense.	Tom parece tenso.
What are we waiting for?	¿Que estamos esperando?
What time did they leave?	¿A que hora se fueron?
It hangs on your decision.	Eso depende de tu decision.
Tom plays organ at our church.	Tom toca el organo en nuestra iglesia.
How do you like Boston?	¿Que te parece Boston?
When was the last time you were sick?	¿Cuando fue la ultima vez que estuviste enfermo?
Tom says he can't walk another step.	Tom dice que no puede dar un paso mas.
It's my umbrella.	Es mi paraguas.
Did you see that?	¿Viste eso?
Tom was alone on Friday night.	Tom estaba solo el viernes por la noche.
Your dress is very nice.	Tu vestido es muy bonito.
I'd rather not go out today.	Preferiria no salir hoy.
German cars are among the best.	Los vehiculos alemanes estan entre los mejores.
Could you send it by email?	¿Podrias enviarlo por correo electronico?
Did you have fun last night?	¿Te divertiste anoche?
Raise your left hand.	Levanta la mano izquierda.
We used to work together.	Soliamos trabajar juntos.
According to the radio, it'll rain tomorrow.	Segun la radio, manana llovera.
Jump as high as you can.	Salta lo mas alto que puedas.
My father drinks a cup of coffee every morning.	Mi padre toma un cafe todas las mananas.
It's been a long time since I've seen my family.	Hace mucho tiempo que no veo a mi familia.
Don't put me in the middle of this.	No me metas en esto.
They traveled together.	Ellos viajaron juntos.
The dress is too expensive. Can't you sweeten the deal a little?	El vestido es demasiado caro. ¿No puedes endulzar un poco el precio?
When were you in Australia?	¿Cuando estuviste en Australia?
You'd better do what I suggest.	Deberias hacer lo que sugiero.
The population of Shanghai is as large as that of Tokyo.	La poblacion de Shangai es tan grande como la de Tokio.
You're the only one who can protect them.	Sos el unico que puede protegerlos.
He noticed I was there.	El se dio cuenta de que yo estaba ahi.
They got the prize.	Ellos recibieron el premio.
Living in Japan is very expensive.	En Japon la vida es muy cara.
If you aren't there by 10:00, we'll leave without you.	Si no estas ahi a las 10:00, nos iremos sin ti.
He was not accustomed to sleeping alone.	El no estaba acostumbrado a dormir solo.
The robber was nabbed this morning.	Cogieron al ladron esta manana.
She dried her face on a towel.	Se seco la cara con una toalla.
You have what they want.	Tienes lo que ellos quieren.
It looks good.	Va bien.
There has been no rain here for the past two weeks.	En las ultimas dos semanas, no ha llovido nada aqui.
Tom wanted to get back home before the kids realized he had left.	Tom queria regresar a la casa antes de que los ninos se dieran cuenta de que se habia ido.
I live in this hotel.	Vivo en este hotel.
I'm bushed.	Estoy agotado.
I know what they're capable of.	Se de lo que ellas son capaces.
I'm going to do this myself.	Voy a hacer esto yo misma.
His father is Japanese.	Su papa es japones.
She cannot stop him.	No puede pararle.
We will accept your conditions.	Aceptaremos sus condiciones.
The soldiers march in camouflaged uniforms.	Los soldados marchan con uniformes de camuflaje.
You shouldn't put off getting married.	No deberias posponer casarte.
What will you be doing at this time tomorrow?	¿Tendras desocupada tu agenda manana a esta misma hora?
Did you read that thick book?	¿Leiste ese libro gordo?
He can't whistle.	El no sabe silbar.
What's my prize?	¿Cual es mi premio?
The haze enveloped London.	La neblina envolvia a Londres.
Is Tom staying at the Hilton Hotel?	¿Tom se queda en el hotel Hilton?
Let's keep this a secret, OK?	Mantengamoslo en secreto, ¿de acuerdo?
I agree to his plan.	Yo estoy de acuerdo con su plan.
The game lacked excitement.	Al juego le falto emocion.
Don't speak with your mouth full.	No hables con la boca llena.
Aren't you a little young?	¿No eres un poco joven?
They said that.	Ellos dijeron eso.
Do you run every day?	¿Corres todos los dias?
Tom can do it.	Tom puede hacerlo.
Are you American?	¿Eres estadounidense?
I don't see Tom's car.	No veo el coche de Tom.
I want Tom to wash the car.	Quiero que Tom lave el auto.
Tom and Mary are holding hands.	Tom y Mary van de la mano.
Tom just packed up and left.	Tom solo hizo las maletas y se marcho.
Tom opened the door to his office.	Tom abrio la puerta de su oficina.
I have to do something else now.	Ahora tengo que hacer otra cosa.
He's lived here his entire life.	Ha vivido aqui toda su vida.
This isn't my key.	Esta no es mi llave.
I couldn't answer all of the questions.	No pude responder todas las preguntas.
It wasn't an accident.	No fue un accidente.
Tom is a biochemist.	Tom es bioquimico.
Tom can sleep anywhere.	Tom puede dormir en cualquier parte.
Tom is painting his fence.	Tom esta pintando su cerca.
He rang me up at midnight.	El me llamo a medianoche.
I think you'll like this.	Creo que te va a gustar esto.
German Shepherds are good at sniffing out drugs.	Los pastores alemanes son buenos para olfatear drogas.
The disco is empty.	La discoteca esta vacia.
I'm cold. May I close the window?	Tengo frio. ¿Puedo cerrar la ventana?
Who's my teacher?	¿Quien es mi profesor?
Your watch is on the desk.	Tu reloj esta sobre el escritorio.
The bank opens at 9 a.m. and closes at 3 p.m.	El banco abre a las 9 de la manana y cierra a las 3 de la tarde.
J.F. Kennedy was buried in Arlington Cemetery.	J. F. Kennedy fue enterrado en el cementerio Arlington.
Listen to this.	Escuche esto.
I looked for the key.	Yo buscaba la llave.
They claimed that Harrison could not read or write.	Ellos sostenian que Harrison no sabia leer ni escribir.
Tom is very dependable, isn't he?	Tom es un chico formal, ¿a que si?
The river carries a huge volume of water.	El rio lleva un gran caudal.
He wanted to come with us.	El queria venir con nosotros.
He was all attention.	El estaba muy atento.
I've never met anyone who doesn't like chocolate.	Jamas he conocido a alguien que no le guste el chocolate.
She pushed him off the pier.	Ella lo empujo desde el muelle.
What's the world's highest mountain?	¿Cual es la montana mas grande del mundo?
She is a wealthy woman.	Ella es una mujer rica.
I built this doghouse by myself.	Construi esta cucha yo solo.
It happened that her husband was a dentist.	Resulto que su marido era dentista.
Why are you so paranoid?	¿Por que estan tan paranoicos?
You have been busy.	Ustedes han estado ocupados.
I'm patient.	Soy paciente.
We're going to get in trouble for that.	Nos vamos a meter en problemas por eso.
Let's encourage the players.	Vamos a animar a los jugadores.
I want to be better.	Quiero ser mejor.
I was caught in a traffic jam.	Quede atrapado en un embotellamiento.
Call security!	¡Llama a seguridad!
I didn't think it mattered to you.	No pense que te importase.
You are always complaining about your husband.	Siempre te estas quejando de tu marido.
I don't have a favorite song.	No tengo ninguna cancion favorita.
It's very hard to play Vivaldi's bassoon concerto on the saxophone.	Es muy dificil tocar el concierto para fagot de Vivaldi en un saxofon.
Tom lied about where he'd been last night.	Tom mintio acerca de donde estuvo anoche.
You're not the only one.	No eres la unica.
Actually, I didn't want to ask you anything.	En realidad, no queria preguntarte nada.
He left a minute ago.	El se fue hace un minuto.
Who's that person over there?	¿Quien es la persona que esta alla?
Tom was better.	Tom estaba mejor.
She used to play tennis with him.	Ella solia jugar al tenis con el.
I wish I was like him.	¡Quisiera ser como el!
There are more girls than boys in this school.	Esta escuela tiene mas chicas que chicos.
I didn't look.	Yo no vi.
No one could find the cave.	Nadie pudo encontrar la caverna.
I can't talk to Tom about anything.	No puedo hablar sobre nada con Tom.
What effect did the doctor say this medicine has on people?	¿Que efecto dijo el doctor que tenia esta medicina en la gente?
They're all chasing Tom.	Todos ellos estan persiguiendo a Tom.
Let him in.	Dejenlo entrar.
You have to eat regularly.	Tienen que comer con regularidad.
Tom stifled a grin.	Tom reprimio una sonrisa burlona.
Do I have to go right now?	¿Tengo que ir enseguida?
Evening was drawing near.	La tarde se estaba acercando.
The plane took off at exactly nine o'clock.	El avion despego a las nueve en punto.
Tom studied at Harvard.	Tomas estudio en Harvard.
Cheer up!	Animate.
Just imitate what he does.	Solo imita lo que haga.
Can I use your car? Sure. Go ahead.	¿Puedo usar tu coche? Seguro. Adelante.
Despite all his wealth, he is stingy.	A pesar de toda su riqueza, el es canuto.
Did you read the book that won the prize?	¿Leiste el libro que gano el premio?
I saw Tom's name on the list.	Vi el nombre de Tomas en la lista.
You should try to form the habit of using your dictionaries.	Deberias tratar de hacerte el habito de usar tus diccionarios.
She feels at ease in their home.	Se siente comoda en su casa.
It sounds like Tom.	Suena como Tom.
The game's almost over.	El juego ya casi termina.
The man I saw yesterday was a complete gentleman.	El hombre que vi ayer era un completo caballero.
Who won?	¿Quien ha ganado?
I don't mind anymore.	Ya no me importa.
These pens are his.	Estos boligrafos son suyos.
He was reading a book at that time.	En ese momento el estaba leyendo un libro.
I have no idea how I got here.	No tengo ni idea como llegue aqui.
It gets worse.	Se pone peor.
I got my right leg injured.	Me lesione la pierna derecha.
Schools are closed.	Los colegios estan cerrados.
I don't want anybody to get hurt.	No quiero que todos salgan lastimados.
We had no help from Tom.	No tuvimos nada de ayuda de Tom.
When did he come here?	¿Cuando vino el aqui?
There's another hitch.	Hay otra dificultad.
Tom found Mary fun to talk to.	Tom encontro divertido conversar con Mary.
The garden is in front of the house.	El jardin esta al frente de la casa.
I want to deposit some money.	Quiero ingresar algo de dinero.
We know everything about you.	Sabemos todo sobre ti.
Our vacation was so much fun that we decided to stay an extra week.	Nuestras vacaciones fueron tan divertidas que decidimos quedarnos una semana extra.
He was angry with his son.	El estaba enfadado con su hijo.
Who's your favorite guitarist?	¿Cual es tu guitarrista preferido?
Something is wrong with this calculator.	A esta calculadora le pasa algo.
Let's try to read.	Probemos a leer.
We will become happy in the long run.	Seremos felices a la larga.
Have you met any of Tom's friends?	¿Has conocido a alguno de los amigos de Tom?
I completely forgot to make something for us to eat.	Olvide completamente hacer algo para que comieramos.
I'd like to think so.	Quiero creer que es asi.
Never underestimate a woman's intuition.	Jamas subestimes la intuicion de una mujer.
I hate Mary's boyfriend.	Odio al novio de Mary.
He is always giving presents to his wife.	El siempre le lleva regalos a su mujer.
I know I've told you this before.	Se que te he dicho esto antes.
Do you know how this machine works?	¿Sabes como funciona esta maquina?
Tom is terribly busy at this time.	En este momento, Tom esta ocupadisimo.
It is better to act than to talk.	Es mejor actuar que hablar.
Save your strength.	Reservate para otro rato.
In spite of his tight schedule, Tom always has time to spend with his children.	A pesar de su apretada agenda, Tom siempre tiene tiempo para pasar con sus hijos.
Act your age.	Actua acorde a tu edad.
Why have you been ignoring me?	¿Por que me has estado ignorando?
Why not take your coat off?	¿Por que no te quitas el abrigo?
Which is the route to Paris?	¿Cual es la ruta a Paris?
I received a telegram saying that my uncle had arrived.	Recibi un telegrama que decia que mi tio habia llegado.
Those flowers have died.	Esas flores han muerto.
How far did you go?	¿Como de lejos fuiste?
You're beautiful.	Sos hermosa.
He went deer hunting.	El fue a cazar ciervos.
Do you need an ambulance?	¿Necesitas una ambulancia?
I would very much like to go.	Me gustaria mucho ir.
You don't go to school on Sunday, do you?	¿No iras a la escuela los domingos?
I have no idea where Tom is now.	No tengo ni idea de donde esta Tom ahora.
He is now almost as tall as his father is.	Ahora el es casi tan alto como su padre.
I really doubt that.	Realmente lo dudo.
I assume you'll be paying me in cash.	Asumo que me pagara en efectivo.
It seems to me that you don't agree.	Me parece que tu no estas de acuerdo.
Mary stared back at him in surprise.	Mary le devolvio la mirada sorprendida.
We had an oral exam.	Teniamos un examen oral.
What did you do this morning?	¿Que hiciste esta manana?
Her novel was translated into Japanese.	Su novela ha sido traducida al japones.
Tom and Mary had a pillow fight.	Tom y Mary tuvieron una pelea de almohadas.
Yesterday he saw a big man.	Ayer vio a un hombre alto.
I don't care what people say.	No me interesa lo que diga la gente.
When was the last time you rode a horse?	¿Cuando fue la ultima vez que montaste un caballo?
I ran into a friend of mine on the bus.	Me tope con un amigo mio en el bus.
Tom's not breathing.	¡Tom no respira!
Tom left his hat in the car.	Tomas dejo su sombrero en el auto.
That old man is a fussy eater.	Ese hombre mayor es muy maniatico para comer.
I'm not as lucky as you.	No tengo tanta suerte como tu.
These trousers are dirty.	Estos pantalones estan sucios.
Let them do their job.	Dejemos que hagan su trabajo.
I freaked out and started screaming.	Me asuste y empece a gritar.
You don't have a clue, do you?	Tu no tienes una pista, ¿oh si?
The walls in the old house were not straight.	Las paredes en la vieja casa no estaban derechas.
Tom is good at singing.	A Tom se le da bien cantar.
What are you playing with?	¿Con que estas jugando?
It's not hard to find.	No es dificil de encontrar.
I look forward to hearing your thoughts on this matter.	Estoy impaciente por escuchar que piensas de este tema.
I may be able to find it.	Puede que lo encuentre.
This song is easy to learn.	Esta cancion es facil de aprender.
You should pay attention to his story.	Deberias prestar atencion a su historia.
Sunglasses protect our eyes from the sun.	Las gafas de sol nos protegen los ojos del sol.
See you then.	Hasta entonces.
You do a great job.	Haces un trabajo muy bueno.
We make milk into cheese and butter.	Transformamos la leche en queso y manteca.
Do what you want.	Haga lo que quiera.
I was stung by a bee.	¡Una abeja me pico!
I'm at a loss for words.	No tengo palabras.
Their eyes met.	Las miradas se cruzaron.
A blind person's hearing is often very acute.	El oido de un ciego a menudo es muy agudo.
I awoke to find myself famous.	Cuando desperte, era famoso.
Do you wanna talk?	¿Quieres hablar?
He scolded her.	El la rino.
Slow down.	Mas despacio.
It might snow tonight.	Podria nevar esta noche.
Tom heard that Mary got a job.	Tom escucho que Mary consiguio un empleo.
You can study here.	Podeis estudiar aqui.
It's hard to choose.	Es dificil elegir.
It might rain. We'd better take an umbrella.	Puede que llueva. Mejor llevemos un paraguas.
He may not be happy.	Tal vez el no sea feliz.
Are you speaking English?	¿Estan hablando en ingles?
Tom must be very lucky.	Tom debe ser muy afortunado.
For all I know, he could be in Paris right now.	De acuerdo a lo que se, el podria estar en Paris en este momento.
He'll be groggy for another few hours until the drug wears off.	Estara grogui durante otro par de horas hasta que se pasen los efectos del medicamento.
These machines aren't working now.	Estas maquinas no funcionan ahora.
Tom asked me what I wanted.	Tom me pregunto que queria.
What Tom did was incredibly stupid.	Lo que Tom hizo fue increiblemente estupido.
Don't let the dog sleep in our bed.	No dejes que el perro duerma en nuestra cama.
I have no comment.	No tengo comentarios.
What awaits you in New York?	¿Que te aguarda en Nueva York?
She was more beautiful than all of the others.	Ella era mas linda que todas las demas.
We like swimming in the ocean.	Nos gusta nadar en el oceano.
I think to clearly distinguish opinion from fact is important.	Creo que es importante distinguir claramente una opinion de un hecho.
The man was ashamed of being born poor.	El hombre estaba avergonzado de haber nacido pobre.
I wanted to ask you something.	Queria preguntaros algo.
Tell me which one to choose.	Dime cual elegir.
Look up these words in the dictionary.	Busque estas palabras en el diccionario.
There was some dew this morning.	Habia algo de rocio esta manana.
I'm dying of thirst.	Me estoy muriendo de sed.
This makes no sense.	Eso no tiene sentido.
I love my new apartment because it's very close to the station.	Adoro mi nuevo apartamento porque queda muy cerca de la estacion.
It's too short.	Es muy corto.
My husband and I are both teachers.	Mi marido y yo somos profesores.
Let's spend all weekend together.	Pasemos todo el fin de semana juntos.
You can't control everything.	No puedes controlarlo todo.
Tom invited Mary and her friends to dinner.	Tom invito a Mary y sus amigos a cenar.
Are you eating lunch?	¿Estas comiendo?
This article is misleading.	El articulo es desorientador.
I never thought it'd be this hard to build a picnic table.	Nunca pense que seria asi de dificil construir una mesa de picnic.
It is hard for me to put my thoughts into words.	Me es dificil verbalizar mis pensamientos.
I can't remember the meaning of the word that I looked up yesterday.	No puedo recordar el significado de la palabra que habia buscado ayer.
It didn't surprise me at all that Tom got arrested from drunken driving.	No me sorprendio para nada que Tom fuera arrestado por conducir ebrio.
You need to work together.	Necesitais trabajar juntos.
What's your favorite number?	¿Cual es tu numero favorito?
I've been here since Saturday.	He estado aqui desde el sabado.
What're you doing with this?	¿Que estas haciendo con esto?
I know that already.	Eso ya lo se.
My uncle has a good knowledge of French.	Mi tio tiene un buen conocimiento del frances.
You drink too much coffee.	Bebes demasiado cafe.
I forgot where my school is.	Se me olvido donde queda mi colegio.
I must send for the doctor.	Tengo que llamar al medico.
Is it a wolf?	¿Acaso es un lobo?
The judge laughed in spite of himself.	El juez se rio sin querer.
I have to stay in bed all day.	Tengo que quedarme todo el dia en la cama.
This is spaghetti.	Esto es espagueti.
I'm just living from day to day.	Solo vivo cada dia a la vez.
He married a farmer's daughter.	Se caso con la hija de un granjero.
My parents prohibited me from seeing Tom again.	Mis padres me prohibieron volver a ver a Tom.
Won't you eat lunch with us?	¿Quieres almorzar con nosotros?
Sunday is the day when people go to church.	El domingo es el dia en el que la gente va a la iglesia.
I know what you're scheming to do.	Se lo que estas planeando hacer.
I'm going to Izu over the weekend.	Tengo intencion de ir a Izu durante el fin de semana.
Without honor, victory is hollow.	Sin honor, la victoria pierde sentido.
We were walking on the deck.	Estuvimos paseando por la cubierta.
If you feed your dog properly, you can increase his lifespan.	Si alimentas adecuadamente a tu perro, puedes aumentar su periodo de vida.
Let me introduce you to my parents.	Permitame presentarle a mis padres.
He goes to the library to read books.	El va a la biblioteca a leer libros.
He met his wife online.	El conocio a su esposa por Internet.
Which pair of shoes did you decide to buy?	¿Por que zapatos te decidiste?
A cold wind was blowing.	Soplaba un viento frio.
The person we're trying to catch is very dangerous.	La persona a la que tratamos de atrapar es muy peligrosa.
I don't care if it's a bit cold.	No me importa si hace un poco de frio.
Which do you prefer, apples or bananas?	¿Que prefieres, las manzanas o los platanos?
Our team may win.	Puede que nuestro equipo gane.
I fear nothing.	No temo nada.
I can't tell if Tom is dead or just unconscious.	No puedo decir si Tom esta muerto o solo inconsciente.
Don't look.	No mireis.
Tom claimed to be the son of a rich man.	Tom aseguro ser el hijo de un hombre rico.
You should eat more fruit.	Deberias comer mas fruta.
Will you come with us?	¿Vendras con nosotros?
These boots are from Australia.	Estas botas son de Australia.
I can't leave yet. I still have a few things to do.	No puedo irme todavia. Aun tengo cosas que hacer.
I was curious to know why people had been staring at me.	Tenia curiosidad por saber por que me miraba la gente.
I don't want to run into Tom.	No quiero toparme con Tom.
I think it's time for me to change jobs.	Creo que es hora de que busque otro trabajo.
Money can't buy happiness. However, it's more comfortable to cry in a Maserati than on a bike.	El dinero no puede comprar la felicidad, pero es mas comodo llorar en un Maserati que en una bicicleta.
I know Tom cheated.	Se que Tom hizo trampas.
Who could resist an offer like that?	¿Quien podria resistirse a una oferta asi?
You have nothing to be sorry about.	No tienes nada de que lamentarte.
I'm really not hungry.	Si no tengo hambre.
He's a tycoon.	Es un gran hombre de negocios.
We like it.	Nos gusta.
Is this really spaghetti?	¿De verdad que esto es spaguetti?
Her face turned white.	Su cara se puso blanca.
It was entirely Tom's fault.	Todo fue culpa de Tomas.
He is busy preparing for an examination.	El esta ocupado preparandose para un examen.
Where's the closest bus stop?	¿Donde esta la parada de autobus mas cercana?
Is he married or single?	¿Esta casado o es soltero?
He has written a letter.	El escribio una carta.
I want to know who killed Tom.	Quiero saber quien mato a Tom.
That's true.	Eso es cierto.
Tom has beautiful blue eyes.	Tom tiene unos preciosos ojos azules.
Tom is unaware of what has happened.	Tom ignora lo que ha ocurrido.
This is an important event.	Este es un evento importante.
My father was committed to a psychiatric hospital.	Mi padre estuvo internado en un manicomio.
We could learn a lot from each other.	Podriamos aprender mucho la una de la otra.
I really am unlucky!	¡De verdad que no tengo suerte!
How are you going?	¿Como iras?
Tom asked Mary to marry him.	Tom le pidio a Maria que se casara con el.
I wonder if Tom can tell us anything else.	Me pregunto si Tom nos puede decir algo mas.
I froze at the sight of the snake.	Me hele al ver la serpiente.
You've got to take the bull by the horns!	¡Debes coger el toro por los cuernos!
They aren't here.	No estan aqui.
He abandoned the plan.	El abandono el plan.
I feel like speaking French today.	Hoy tengo ganas de hablar frances.
How much milk is there left?	¿Cuanta leche queda?
Will you let me use your telephone, please?	¿Me dejarias usar tu telefono, por favor?
Tom has told me a lot about you.	Tom me ha contado muchas cosas sobre ti.
Are you seriously thinking about selling this on eBay?	¿Estas pensando seriamente en vender esto en eBay?
His eyes are red.	Tiene los ojos rojos.
Maybe that's where the secret lies.	Tal vez ahi este el secreto.
Let's hope the weather is good tomorrow.	Esperemos que haga buen clima manana.
Mine is not as good as yours.	El mio no es tan bueno como el tuyo.
What is he so angry about?	¿De que esta tan molesto?
There are some cookies in the jar.	Hay unas galletas en la jarra.
Love isn't the only thing that matters.	El amor no es lo unico que importa.
You have many friends.	Usted tiene muchas amigas.
Tom didn't come with us to Boston.	Tom no vino con nosotros a Boston.
Please hold on.	Por favor, agarrate fuerte.
They smell bad.	Ellos huelen mal.
I wouldn't bet on that.	Yo no lo apostaria.
I wish it would happen more often.	Ojala pasara mas a menudo.
Say nothing.	No digas nada.
The birds flew away in alarm when they saw the cat.	Los pajaros se fueron volando alarmados al ver al gato.
He died when he was 54 years old.	El murio cuando tenia 54 anos.
I bought this camera for 25,000 yen.	Compre esta camara por 25.000 yenes.
I can't believe I'm actually here.	No puedo creer que realmente este aqui.
Wait here till he comes back.	Espera aqui hasta que el regrese.
You look tired.	Usted se ve cansado.
Tom couldn't have had anything to do with what happened last week.	Tom no podia haber tenido nada que ver con lo que paso la semana pasada.
Tom has been having trouble sleeping recently.	Tom ha estado tendiendo problemas para dormir recientemente.
Tom escaped from prison.	Tom huyo de prision.
You smell good.	Hueles bien.
Tom loved his children.	Tom queria a sus hijos.
James Madison hated the idea.	A James Madison le aborrecio la idea.
This is the important part.	Esta es la parte importante.
Tom has been living alone since Mary died.	Tom ha estado viviendo solo desde que Mary murio.
The printer needs paper.	La impresora necesita papel.
These days I'm very busy.	Estoy muy ocupada estos dias.
You owe Tom a big apology.	Le debes una gran disculpa a Tom.
You drank too much.	Tomaste demasiado.
Tom wasn't able to swim.	Tom no fue capaz de nadar.
I like castles.	Me gustan los castillos.
He is after a better job.	El busca un mejor trabajo.
There's something I've been meaning to talk to you about.	Hay algo sobre lo que queria hablarte.
Tom hasn't written a letter in a long time.	Tom no ha escrito una carta en mucho tiempo.
The boy bowed to me.	El chico se inclino ante mi.
I bought a hat in the shop.	Me compre un sombrero en la tienda.
The cat seems to want some water.	Al parecer el gato quiere algo de agua.
He held the wheel with one hand and waved to me with the other.	El sujeto el volante con una mano y me saludo con la otra.
I'm left-handed.	Soy zurdo.
He came here ten minutes ago.	El vino aqui hace diez minutos.
He seems to know the secret.	Parece que el sepa el secreto.
This is the village where my father was born.	Este es el pueblo en el que nacio mi padre.
I don't want Tom to find me again.	No quiero que Tom me encuentre otra vez.
I can carry those suitcases for you.	Puedo llevarte las maletas.
Tom guessed wrong.	Tom adivino mal.
How long will it stop there?	¿Cuanto tiempo va a estar parado ahi?
Tom filled his glass again.	Tom lleno su vaso otra vez.
I don't know what I'm going to do next.	No se que es lo proximo que hare.
Tom acted like a baby.	Tom se porto como un bebe.
Everybody in the room let out a sigh of relief.	Todos en la habitacion dieron un suspiro de alivio.
I am convinced of your innocence.	Estoy convencido de tu inocencia.
Women loved it.	A las mujeres les encanto.
I need a new USB cable.	Necesito un cable USB nuevo.
Which do you like better, tea or coffee?	¿Que te gusta mas: el te o el cafe?
Where can I park?	¿Donde puedo estacionar?
The milk turned sour.	La leche se ha cortado.
Tom was hit by a truck and died instantly.	Tom fue atropellado por un camion y murio al instante.
That's simple.	Es simple.
Japan has a high population density.	Japon es un pais con una gran densidad de poblacion.
He got his neck broken in the accident.	Se rompio el cuello en el accidente.
I thought you said you were bad at French.	Pense que habias dicho que eras malo en frances.
Many people eat fried chicken with their fingers.	Mucha gente come pollo frito con las manos.
See you in Boston.	Te vere en Boston.
It's really not that heavy.	Si no es tan pesado.
She'd never been so frightened.	Ella nunca habia estado tan asustada.
I ran as fast as I could, but I missed the bus.	Corri tan rapido como pude, pero perdi el autobus.
I'm prepared.	Estoy preparado.
I have bought a car.	Compre un carro.
I know that you are rich.	Se que eres rico.
The time will come when you will understand what I mean.	Algun dia comprenderas lo que quiero decir.
Tom's wallet is almost empty.	La billetera de Tom esta casi pelada.
School was fun today.	Hoy estuvo divertida la escuela.
I'll end up by going crazy.	Acabare por volverme loco.
Are you all by yourself?	¿Estais todas solas?
To tell the truth, I don't really like her.	A decir verdad, ella en realidad no me gusta.
I saw a dog swim across the river.	Vi a un perro atravesar el rio nadando.
He took me by the hand.	El me tomo de la mano.
Tom shot at Mary.	Tom le disparo a Mary.
I telephoned my order for the book.	Encargue el libro por telefono.
I think love doesn't exist.	Pienso que el amor no existe.
Tom can sleep in my room.	Tomas puede dormir en mi cuarto.
I'm a lifeguard.	Soy salvavidas.
Please tell me the correct time.	Digame la hora correcta, por favor.
Tom didn't have the courage to ask his boss for a raise.	Tom no tuvo el valor de pedirle un aumento a su jefe.
I thought we talked about this already.	Pense que ya habiamos hablado de esto.
Tom pulled a muscle.	Tom se desgarro un musculo.
Don't take it out on me.	No te desquites conmigo.
Stop! Thief!	¡Alto! ¡Ladron!
He does nothing but complain from morning till night.	No hace mas que quejarse todo el dia.
Tom wants Mary to buy a new dress for the banquet.	Tom quiere que Mary compre un nuevo vestido para el banquete.
Please use a pencil to write down your name.	Escriba su nombre con lapiz, por favor.
I'm just joking.	Solo bromeo.
I wish I had been with her then.	Ojala hubiera estado con ella entonces.
I just meant to scare Tom, not to hurt him.	Solo quise asustar a Tom, no herirlo.
She isn't adequate to the task.	Ella no esta capacitada para esa tarea.
The best cookies I've ever eaten are the ones that your mother baked for me.	Las mejores galletas que he comido en mi vida son las que me hizo tu madre.
I will wait till you have written the letter.	Esperare hasta que hayas escrito la carta.
Glass is made from sand.	El vidrio se hace a partir de arena.
I haven't met with Tom recently.	No me he juntado con Tom ultimamente.
They had been away for two years and five months.	Habian estado fuera durante dos anos y cinco meses.
When I think about those students, it gives me a headache.	Cuando pienso en aquellos estudiantes, me da dolor de cabeza.
You'll find out.	Tu lo descubriras.
I feel bad today.	Hoy me siento mal.
What kind of places do you like?	¿Que tipo de lugares te gustan?
Our teacher will go to the USA next month.	Nuestro profesor va a ir a Estados Unidos el proximo mes.
The meat is really tender.	La carne esta realmente tierna.
My reputation is at stake.	Mi reputacion esta en juego.
My socks aren't here.	Mis calcetines no estan aqui.
Is this coat yours?	¿Es tuyo este abrigo?
Please hurry! Tom is waiting.	¡Por favor, date prisa, Tom esta esperando!
There are a lot of fish in the pond.	Hay muchos peces en la laguna.
We just got here.	Acabamos de llegar.
I don't want to leave.	No me quiero ir.
I knew that.	Yo sabia eso.
He turned off all the lights at eleven.	El apago todas las luces a las once.
Nobody was tortured.	Nadie fue torturado.
At least he shook your hand. He didn't even look at me.	Siquiera te saludo con la mano. A mi ni me miro.
Hold your breath.	Conten tu respiracion.
She didn't mention the accident to me.	Ella no me menciono el accidente.
An ugly man knocked on my door.	Un hombre feo llamo a mi puerta.
Do you want to hear it?	¿Queres escucharlo?
In the end, I found out what was wrong with my TV.	Al fin encontre lo que estaba malo en mi televisor.
That would be dangerous.	Eso seria peligroso.
Tom told me he didn't have to do that.	Tom me dijo que el no tenia que hacer eso.
What a beautiful place!	¡Que hermoso lugar!
Tom hadn't washed clothes in a long time, so he searched through his dirty clothes to see if there was something clean enough to wear.	Ya desde hace mucho tiempo que Tom no lavaba ropa, asi que el buscaba en su ropa sucia para ver si habia algo lo suficientemente limpio que pudiera ponerse.
Be careful not to fall.	Cuidado de no caerte.
I'm already sick.	Ya estoy enferma.
Tom can't read without glasses.	Tom no puede leer sin lentes.
Please take Tom with you.	Por favor anda con Tom.
Did you enjoy the movie you saw last night?	¿Te gusto la pelicula que viste anoche?
That's the hotel.	Ese es el hotel.
We all like to ride bikes.	A todos nos gusta montar en bici.
How was your afternoon?	¿Como estuvo tu tarde?
Can you get any closer?	¿Te puedes acercar mas?
Life's not fair.	La vida es injusta.
I was very tired last night.	Anoche estaba muy cansado.
Tom has been fired.	Tom fue despedido.
Did she like it?	¿Le gusto a ella?
