Tom has two girlfriends.	Tom tiene dos novias.
I know it's hot.	Se que esta caliente.
I want to learn French.	Quiero aprender frances.
I'm getting married next month.	Me caso el mes que viene.
Is the phone ringing?	¿Esta sonando el telefono?
Did you go to school yesterday?	¿Fuiste a la escuela ayer?
You're very skeptical.	Sos muy esceptico.
I thought you said you weren't interested.	Pense que habias dicho que no estabas interesado.
Tom said he didn't know what he was supposed to do.	Tom dijo que el no sabia lo que tenia que hacer.
I'll come straight to the point. You're fired.	Ire directa al grano. Estas despedida.
Please forgive me.	Perdoneme, por favor.
Are you going to cut down all the trees here?	¿Vas a cortar todos los arboles de aqui?
I didn't give anything to Tom.	Yo no le di nada a Tom.
There are no comments yet.	Aun no hay comentarios.
Take your dog away.	Quita a tu perro.
Tom seems to be more nervous than I am.	Tom parece estar mas nervioso que yo.
To err is human, to forgive divine.	Errar es humano; perdonar, divino.
Rain is forecast for this evening.	Se pronostica lluvia para esta noche.
I have to finish the work by four o'clock.	Tengo que terminar el trabajo para las cuatro.
Tom took the microphone away from Mary.	Tom le arrebato el microfono a Maria.
She is expecting a child.	Ella esta esperando un bebe.
They're idiots.	Son idiotas.
What did you buy your boyfriend?	¿Que le compraste a tu novio?
Stop bothering me!	¡Deja de molestarme!
I don't understand the question.	No entiendo la pregunta.
Never look a gift horse in the mouth.	A caballo regalado no se le miran los dientes.
I got a call from her this morning.	Yo recibi una llamada de ella esta manana.
Why are you angry?	¿Por que esta enfadado?
I cannot see this picture without remembering my childhood.	No puedo ver esta foto sin que me recuerde mi infancia.
Where would you like to go first?	¿Adonde te gustaria ir primero?
You are very elegant.	Estas muy elegante.
The plane arrived at New York on schedule.	El avion llego puntual a Nueva York.
I couldn't get it.	No pude obtenerlo.
You cannot separate the milk from the coffee once you put it in.	No se puede separar la leche del cafe una vez que la hayas metido.
The old man died of cancer.	El anciano murio de cancer.
They are our guests.	Ellos son nuestros invitados.
Tom didn't want my help.	Tomas no queria mi ayuda.
I love when things start falling into place.	Adoro cuando las cosas comienzan a caer en su lugar.
Tom slugged Mary.	Tom dio un punetazo a Mary.
Tom had many friends.	Tom tenia muchos amigos.
I take back what I said.	Retiro lo que dije.
Just get out of here, OK?	Solo sal de aqui, ¿de acuerdo?
Watch and learn.	Mira y aprende.
Aren't you being very rude?	¿No estas siendo muy grosero?
What are you cooking?	¿Que estan cocinando?
How many eggs are there in the kitchen?	¿Cuantos huevos hay en la cocina?
We're investigating the murder of Tom Jackson.	Estamos investigando el asesinato de Tom Jackson.
Where was Tom last Monday?	¿Donde estuvo Tom el lunes pasado?
I don't like to paint.	No me gusta pintar.
Don't let children play in the road.	No dejes que los ninos jueguen en la carretera.
You should conform to the rules.	Debes ajustarte a las reglas.
Which book would you like?	¿Que libro te gustaria?
In case of an emergency, dial 110.	En caso de emergencia, marque 110.
I don't know a thing about her.	No se nada sobre ella.
I have a hunch.	Tengo una corazonada.
I'm dancing.	Estoy bailando.
Tom has been out of town for the last three months.	Tom ha estado fuera de la ciudad durante los ultimos tres meses.
Are you busy?	¿Estas ocupado?
You may call me anytime.	Puedes llamarme a cualquier hora.
I want to eat it.	Quiero comermelo.
I remember seeing the gentleman before.	Yo recuerdo haber visto al caballero antes.
I wasn't following the conversation.	No estaba siguiendo la conversacion.
You can't imagine it, can you?	¿Acaso te lo podrias imaginar?
Tom told Mary she was fat and ugly.	Tom le dijo a Mary que era gorda y fea.
We congratulated him on his success.	Lo felicitamos por su exito.
Aren't you hungry?	¿No teneis hambre?
Were you out last night?	¿Saliste anoche?
I didn't do that for the money.	No lo hice por dinero.
He arrived here last night.	El llego aqui anoche.
I just wanted to wish you luck.	Solo queria desearte suerte.
He acts like a tough guy.	Se las da de guapo.
Tom wonders why Mary came here alone.	Tom se pregunta por que Mary vino aqui sola.
My mother likes tea very much.	A mi madre le encanta el te.
Tom kicked the stool out from under Mary.	Tom saco el taburete situado bajo Mary.
We won't surrender.	No nos rendiremos.
Tom is our employee.	Tom es nuestro empleado.
Tom won't do such a thing.	Tom no hara tal cosa.
He saw there what he had dreamed about.	Ahi el vio lo que el habia sonado.
What is aspirin made of?	¿De que se compone la aspirina?
He is not a teacher but a doctor.	El no es maestro, sino medico.
He made a robot.	El construyo un robot.
Don't mention that name.	No menciones ese nombre.
We want to help Tom.	Queremos ayudar a Tom.
Sit down.	Sientate.
According to her, he won't come.	Segun ella, el no vendra.
They laughed.	Rieron.
His child behaves well.	Su hijo se porta bien.
Now that I am well again, I want to study space science in college.	Ahora que estoy bien otra vez, quiero estudiar astronomia en la universidad.
Tom is carrying a violin under his arm.	Tom lleva un violin bajo su brazo.
What were we thinking?	¿Que estabamos pensando?
Leave my camera alone.	Deja mi camara.
My boss thinks highly of me.	Mi jefe me tiene en alta estima.
I ate apples.	Yo comi manzanas.
She called him on the phone.	Ella lo llamo al telefono.
I mostly agree with what he said.	Estoy de acuerdo con la mayor parte de lo que dijo.
They've gone.	Se han ido.
The traffic is heavy here, especially in the morning.	El trafico es intenso aqui, sobre todo por las mananas.
I'd like to see your sister.	Me gustaria ver a tu hermana.
Tom asked Mary if she trusted John.	Tom le pregunto a Mary si confiaba en John.
Tom scored the first goal of the game.	Tom hizo el primer gol del partido.
I'm confused.	Estoy confuso.
Tom and Mary always play tennis on Saturday morning.	Tom y Mary siempre juegan tenis los sabados por la manana.
I need to see my family.	Necesito ver a mi familia.
It looks like you've lost a few pounds.	Parece que has perdido unas cuantas libras.
The store closed down for good.	La tienda cerro permanentemente.
I plan to go there.	Pienso ir alli.
I said it wasn't your fault.	Dije que no fue tu culpa.
Write your name on this sheet of paper.	Escriba su nombre en esta hoja.
In the year 2012, there will be flying cars everywhere.	En el ano 2012 habra autos voladores por doquier.
I have to go soon because I left the engine running.	Me tengo que ir pronto por que deje el motor andando.
Who's your favorite song writer?	¿Quien es tu compositor favorito?
That's mine.	Ese es mio.
Drug addiction is a cancer in modern society.	La adiccion a las drogas es un cancer en la sociedad moderna.
The story had a happy ending.	La historia tenia un final feliz.
What is he up to now?	¿Que se trae ahora?
What did you do with my baggage?	¿Que hiciste con mi equipaje?
Water is scarce in this area.	El agua escasea en esta zona.
Tom goes to school by bus and train.	Tom va a la escuela en autobus y en tren.
We went to Australia last summer.	Fuimos a Australia el verano pasado.
I didn't call.	Yo no llame.
I'll play with you.	Yo jugare contigo.
Who is that man in the background of the picture?	¿Quien es ese hombre en el fondo del cuadro?
We ought to do our best not to pollute our environment.	Deberiamos esforzarnos al maximo para no ensuciar el medioambiente.
I'm sorry I hurt Tom.	Lamento haber herido a Tom.
Send the letter airmail.	Envie usted la carta por correo aereo.
There is a mistake in this sentence.	Hay un error en esta frase.
She lays the table for breakfast.	Esta poniendo la mesa para el desayuno.
As for me, I like this better.	En cuanto a mi, me gusta mas este.
She forced him to eat his vegetables.	Lo forzo a comer sus vegetales.
Tom went to Boston to visit his uncle.	Tom fue a Boston a visitar a su tio.
You must perform your duty.	Debes cumplir con tu deber.
If I were a boy, I could join a baseball team.	Si yo fuera un chico, podria apuntarme al equipo de beisbol.
He promised me that he won't tell anybody.	El me prometio que no le diria a nadie.
I think I'm going to buy myself a cellphone tomorrow.	Manana pienso comprarme un movil.
Tom is trying to do the impossible.	Tom esta tratando de hacer lo imposible.
I don't want to go out with Tom.	No quiero salir con Tom.
If you only had one more week to live, what would you spend your time doing?	Si solo tuvieras una semana mas de vida, ¿que pasarias haciendo?
Pay attention to coincidences.	Presta atencion a las coincidencias.
We are baking in the kitchen.	Estamos horneando en la cocina.
Are you busy on Sunday afternoon?	¿Estas ocupado el domingo por la tarde?
They were cracking up.	Se estaban riendo a carcajadas.
Tom wanted to spend some time in the country.	Tom queria pasar mas tiempo en el pais.
What is the correct answer?	¿Cual es la respuesta correcta?
Where did you buy your golf clubs?	¿Donde compraste tus palos de golf?
I like this shirt.	Me gusta esta camisa.
They are happy with the result.	Ellos estan contentos con el resultado.
Everyone but Tom was there.	Todos estaban alli, menos Tom.
I must go now.	Tengo que irme ahora.
I met her on my way home.	Me la encontre de camino a casa.
What's your favorite boy's name?	¿Cual es tu nombre favorito para chico?
My fingers left marks on the glass.	Mis dedos dejaron marcas en el vaso.
It matters not how a man dies, but how he lives.	No importa como muere alguien, sino como vivio la vida.
I will take the one that is more expensive.	Yo llevare el que sea mas caro.
Tom kept his hat on to hide his baldness.	Tom se dejo el sombrero puesto para ocultar su calvicie.
Now I have a headache, too.	Ahora yo tambien estoy resfriado.
There's no one here.	Aqui no hay nadie.
Please make yourselves at home.	Por favor, sentios como en casa.
We went to New York by plane.	Fuimos a Nueva York en avion.
Could you pass me the salt, please?	¿Puede pasarme la sal?
He ate a box of chocolates.	El se comio una caja de chocolates.
He took a picture.	El tomo una foto.
Fire burns.	El fuego quema.
Tom and Mary don't seem too happy.	Tom y Mary no parecen demasiado felices.
I know it's not Tom's fault.	Se que no es culpa de Tom.
It's the perfect moment for a kiss.	Es el momento perfecto para un beso.
Children are not allowed in.	Los ninos no pueden entrar.
What is the difference between this and that?	¿Cual es la diferencia entre esto y aquello?
Tom does what he wants.	Tom hace lo que quiere.
Tom wants to know how long we're going to be here.	Tom quiere saber por cuanto tiempo vamos a estar aqui.
Did you know that Tom doesn't have a driver's license?	¿Sabias que Tom no tiene registro?
The doctor is only available on weekdays.	El doctor solo esta disponible los dias laborables.
Tom changed the plan.	Tomas cambio el plan.
He had known some of them before the war.	El habia conocido a algunos de ellos antes de la guerra.
Tom thinks that's good enough.	Tom cree que eso es lo suficientemente bueno.
This is what you must do.	Esto es lo que tienen que hacer.
Ask him where he parked his car.	Preguntale donde aparco su coche.
Tom thinks the answer is no.	Tom piensa que la respuesta es no.
He is studying history at the university.	El esta estudiando Historia en la universidad.
She forgave him for killing her father.	Ella lo perdono por matar a su padre.
Is this seat reserved?	¿Esta reservado este asiento?
Each time I see this picture, I remember my father.	Cada vez que veo esta fotografia recuerdo a mi padre.
Scientists haven't found a cure for cancer yet.	Los cientificos todavia no han hallado la cura contra el cancer.
Are you going to pay a visit to China this fall?	¿Vas a China este otono?
The clouds are getting darker.	Las nubes se estan oscureciendo.
Memorize it.	Memorizalo.
I played soccer.	Jugaba al futbol.
I did it while I was drunk.	Hice eso cuando estaba borracho.
Everybody waited.	Todos esperaron.
Our supplies are running out.	Se estan agotando nuestras proviciones.
Swimming is good exercise.	Nadar es buen ejercicio.
He doesn't care for sweet things.	No le gustan las cosas dulces.
I don't like oysters.	No me gustan las ostras.
Do you have any employees who speak French?	¿Tienes algun empleado que hable Frances?
We felt the house shake a little.	Nosotros sentimos a la casa sacudirse un poco.
I collect antiques.	Colecciono antiguedades.
You have to eat regularly.	Tienes que comer con regularidad.
You are in desperate need of a vacation.	Necesitas urgentemente unas vacaciones.
I don't understand a word.	No me entero de nada.
The phone rang, but nobody answered it.	El telefono sono, pero nadie contesto.
I didn't know he had decided to leave his job.	No sabia que el habia decidido renunciar a su trabajo.
You are asked to refrain from smoking until the sign is switched off.	Se le ruega abstenerse de fumar hasta que se haya apagado la senal luminosa.
Tom can sleep anywhere.	Tom puede dormir donde sea.
If you want something done right, you have to do it yourself.	Si quieres que algo se haga bien, tienes que hacerlo tu mismo.
Mary felt excluded.	Mary se sintio excluida.
Tom is an extremely good-looking man.	Tom es un hombre extremadamente apuesto.
Tom has passed out.	Tom se ha desmayado.
Tom declined our job offer.	Tom rechazo nuestra oferta de trabajo.
She talked him into quitting his job.	Ella lo convencio a que renunciara a su trabajo.
You won't be late, will you?	No llegaras tarde, ¿verdad?
Two hundred people died of cholera last year.	Doscientas personas murieron de colera el ano pasado.
I sometimes dream of my mother.	A veces sueno con mi madre.
We will have a math class tomorrow.	Tendremos una clase de matematicas manana.
What does Tom need to say to get Mary to forgive him?	¿Que necesita decir Tom para que Mary lo perdone?
It's Monday today.	Hoy es lunes.
I take a bath almost every day.	Me bano casi todos los dias.
Let's let the workers go home early today.	Dejemos a los trabajadores irse a casa mas temprano por hoy.
Finally, I have my own car.	Finalmente tengo mi propio auto.
It's unbearably hot.	Hace un calor insoportable.
They're spies.	Son espias.
Even the fastest horse only has four legs.	Incluso el caballo mas rapido tiene cuatro patas.
My head aches.	Me duele la cabeza.
Can I have it back now?	¿Me lo entregan de vuelta ahora?
I used to hang out with Tom a lot, but these days he's not around much.	Solia pasar el rato con Tom a menudo, pero estos dias el no esta mucho por aqui.
She is now an utter stranger to me.	Ahora ella es una perfecta extrana para mi.
This medicine will help you.	Esta medicina le va a ayudar.
I wanted to ask you about something.	Queria preguntarte sobre algo.
She's just a child.	Solo es una nina.
Tom didn't look happy at all.	Tom no se veia para nada feliz.
Tom lost his house key.	Tom perdio las llaves de su casa.
You can't cling to the past.	No puedes aferrarte al pasado.
It gave me goosebumps.	Me puso los pelos de punta.
When I was taking a bath, the telephone rang.	Cuando me estaba banando sono el telefono.
Nothing like that will happen again.	Nada asi sucedera otra vez.
Tom was surprised to find Mary sitting all alone in the chapel.	Tom estaba sorprendido de encontrar a Maria sentada completamente sola en la capilla.
Maybe Tom really did see Mary kissing John.	Es posible que Tom si que viera a Mary besar a John.
Tom filled the bottle with water.	Tom lleno la botella de agua.
They were spending money.	Ellos gastaban dinero.
My mother bakes bread every morning.	Mi madre hornea pan todas las mananas.
My train leaves at six o'clock and arrives there at ten o'clock.	Mi tren sale a las seis en punto y llega alli a las diez en punto.
He promised to reward me for my work.	El prometio recompensarme por mi trabajo.
I spent all day studying French.	Pase todo el dia estudiando frances.
Accidents happen.	Los accidentes pasan.
Tom hasn't heard from Mary since then.	Tom no ha oido acerca de Mary desde entonces.
I'll see you at nine tomorrow morning.	Te vere manana en la manana a las nueve.
Tom didn't know what was going on.	Tom no sabia que estaba sucediendo.
I know a little Spanish.	Hablo un poco de espanol.
Many native speakers of Japanese have trouble hearing the difference between B and V.	Muchos hablantes nativos del japones tienen problemas para oir la diferencia entre la B y la V.
One day you'll be able to walk.	Un dia seras capaz de caminar.
Tom isn't doing anything.	Tom no esta haciendo nada.
It would be better to be blind than to see that.	Mas vale ser ciego que tener que ver eso.
I'm not saying that your answers are always wrong.	No digo que tus respuestas siempre sean incorrectas.
I knew you'd find it.	Sabia que lo encontrarias.
My father's in the garden.	Mi padre esta en el jardin.
I don't need to sound like a native speaker, I just want to be able to speak fluently.	No necesito sonar como un hablante nativo, solo quiero ser capaz de hablar con fluidez.
What kind of game do you think this is?	¿Que clase de juego piensas que es este?
I couldn't go to work because I was sick.	No pude ir a trabajar porque estaba enfermo.
This isn't the first time this has happened.	No es la primera vez que pasa.
Apparently, there is nothing that cannot happen today.	Aparentemente, no hay nada que no pueda pasar hoy.
I can't bear the sight of him.	No puedo soportar verlo.
Tom knows something that he's not telling us.	Tom sabe algo que no nos esta diciendo.
Tom is unfaithful.	Tom es infiel.
My father cannot lift it up.	Mi padre no puede levantarlo.
Wait for Tom.	Espera por Tom.
Can I exchange this with something else?	¿Puedo cambiar esto por otra cosa?
Why don't we take a look?	¿Por que no echamos un vistazo?
The dogs are in the garden.	Los perros estan en el jardin.
I didn't know you had a dog.	No sabia que tenias un perro.
Let's fly a kite.	Remontemos una cometa.
I haven't talked to Tom in almost a year.	No he hablado con Tom en casi un ano.
I'll see him next Friday.	Le vere el viernes que viene.
All three of these are mine.	Estas tres son mias.
I'd like to see you when you are free.	Me gustaria verte cuando te liberen.
I have a secret dream.	Tengo un sueno secreto.
I appreciate what you're trying to do.	Agradezco lo que estas intentando hacer.
It's in good hands.	Esta en buenas manos.
I'm sorry to interrupt you while you're talking.	Siento interrumpirte cuando hablas.
The vacation is over now.	Las vacaciones se acabaron.
She still hasn't heard this news.	Todavia no ha oido esta noticia.
Come whenever you want.	Ven cuando quieras.
Tom is a racist.	Tomas es un racista.
He was saying his head hurt a lot.	Decia que le dolia mucho la cabeza.
It's 3:10.	Son las tres y diez.
She sang a Japanese song for us.	Ella nos canto una cancion japonesa.
Have you recovered from the shock?	¿Te has repuesto del shock?
I think it's highly unlikely that we'll be able to escape from this prison.	Creo que es muy improbable que podamos huir de esta carcel.
Are you sure you don't want to go with us?	¿Estas seguro de que no quieres ir con nosotros?
What time do you get up every day?	¿A que hora te levantas todos los dias?
We usually eat before seven.	Solemos comer antes de las siete.
Tom couldn't decode the secret message.	Tom no pudo descifrar el mensaje secreto.
Unfortunately, it's a hoax.	Desafortunadamente, es un engano.
What time did you get up this morning?	¿A que hora te levantaste esta manana?
Every religion prohibits murder.	Toda religion prohibe el asesinato.
These kinds of mistakes are inevitable.	Este tipo de errores son inevitables.
I don't know if I have time to do it.	Yo no se si tengo tiempo para hacerlo.
Give me liberty or give me death.	Dame la libertad o dame la muerte.
The world did not recognize him.	El mundo no lo reconocio.
She is out on an errand.	Ella salio a hacer un mandado.
Everybody has a right to his own opinion. However, sometimes it's better not to tell anybody what that opinion is.	Todos tienen derecho a su opinion propia. Sin embargo, a veces es mejor no decirle a nadie cual es esa opinion.
Tom didn't do anything to help Mary.	Tom no hizo nada para ayudar a Mary.
Tom realized that he had fallen in love with Mary.	Tom se dio cuenta de que se habia enamorado de Maria.
You've got a strong will.	Has logrado una recia voluntad.
That would be suicidal.	Ello seria suicida.
I think the time is right to introduce this product.	Pienso que es el momento perfecto para introducir este producto.
They booted him out of school for not studying.	Lo expulsaron de la escuela por no estudiar.
We're becoming too conceited.	Nos hemos vuelto demasiado vanidosos.
I'm going to study English this afternoon.	Esta tarde voy a estudiar ingles.
This is a spotted dog.	Esto es un perro manchado.
His concert was great.	Su concierto fue genial.
Give me a piece of paper.	Dame un pedazo de papel.
These apples taste good.	Estas manzanas estan buenas.
Father set the alarm for six o'clock.	Papa puso la alarma a las seis en punto.
I was disappointed with the new product.	El nuevo producto me desiluciono.
I can't trust him.	No puedo confiar en el.
She was burning with fever.	Ella estaba ardiendo de fiebre.
That's my fault.	Eso es mi culpa.
When did your father come home?	¿Cuando vino a casa tu padre?
I thought Tom was in the bathroom.	Pense que Tom estaba en el bano.
We don't like this house.	No nos gusta esta casa.
He stopped looking for the pearl.	Dejo de buscar la perla.
You can go out on condition that you come home by seven.	Si vuelves antes de las 7, puedes salir.
Tom bumped into Mary on his way to school.	Tom se tropezo con Mary de camino a la escuela.
The roof of my house is red.	El techo de mi casa es rojo.
There was a Persian cat sleeping on the table.	Habia un gato persa durmiendo sobre la mesa.
The constitution of the country is very democratic.	La constitucion del pais es muy democratica.
The average American living space is twice as large as the living space in Japan.	La media del espacio vital en America es el doble que la media de espacio vital en Japon.
He has been sick for a week.	Lleva enfermo una semana.
I owe you an apology.	Te debo una disculpa.
There used to be a post office on the corner.	Solia haber una oficina de correos en la esquina.
It's never too late to learn.	Nunca es demasiado tarde para aprender.
Who are these for?	¿Para quien son estos?
We listened to her for some time.	La escuchamos un rato.
I can't see the stage well from this seat.	No puedo ver bien el escenario desde este asiento.
Tom was sentenced to 10 years in prison.	Tom fue condenado a diez anos de prision.
I hope they're friendly.	Espero que sean amigables.
Are you happy in your house?	¿Estas feliz en tu casa?
Yesterday, when Tom was backing up his car, he ran over Mary's bicycle.	Ayer, cuando Tom estaba dando marcha atras con su coche, atropello la bicicleta de Mary.
You want it, don't you?	Quieres esto, ¿verdad?
To hear him talk, you might think he's a girl.	Al oirle hablar, puede que pienses que es una chica.
Tom will study French next year.	Tom va a estudiar frances el ano que viene.
It would've been better if you'd stayed with Tom.	Habria sido mejor si te hubieras quedado con Tom.
The sun shines during the day.	El sol brilla durante el dia.
Whose son are you?	¿De quien eres hijo?
It was a dark, moonless night.	Era una noche oscura y sin luna.
I need a huge favor.	Necesito un favor enorme.
I didn't even know you knew.	Yo ni siquiera sabia que tu sabias.
He used his hand to screen the sunlight from his eyes.	El uso su mano para proteger sus ojos de la luz del sol.
Tom never jokes about his job.	Tom nunca bromea acerca de su trabajo.
Hello, it's me. Could you come pick me up at the station?	Hola, soy yo. ¿Podrias venir a recogerme en la estacion?
When will you return?	¿Cuando volveras?
It's been pouring here for the last few days.	Aqui ha estado lloviendo a cantaros durante estos ultimos dias.
Everybody wanted me to do it.	Todos querian que lo hiciera.
What have you done this week?	¿Que habeis hecho esta semana?
He promised not to tell.	El prometio no decir nada.
I'd do anything for you.	Haria cualquier cosa por vosotras.
You have to make up the time you have lost.	Tienes que recuperar el tiempo que has perdido.
Priests don't have wives.	Los curas no tienen esposas.
Tom doesn't know what Mary does for a living.	Tom no sabe lo que hace Mary para ganarse la vida.
Tom didn't know Mary had decided to leave him.	Tom no sabia que Mary habia decidido dejarlo.
Tom told Mary that he didn't think it was a good idea for her to go jogging in the park by herself.	Tom le dijo a Mary que no creia que fuera una buena idea que fuera a correr sola por el parque.
She's dieting.	Esta a dieta.
Turn it upside down.	Ponla boca abajo.
Tom asked Mary if she'd help him.	Tom le pregunto a Mary si acaso lo ayudaria.
Why don't you spend more time with Tom?	¿Por que no pasas mas tiempo con Tom?
We've done it.	Lo hemos hecho.
This is quite tasty.	Esto es muy sabroso.
The cat started to scratch the carpet.	El gato empezo a aranar la alfombra.
It is rather difficult to assemble a watch.	Es bastante dificil montar un reloj.
Mary was left badly scarred after botched plastic surgery.	Mary fue dejada gravemente marcada despues de la chapuza de cirugia plastica.
Tom attended the wedding.	Tom asistio a la boda.
Never let me go.	Nunca me dejes ir.
I've forgotten your number.	He olvidado tu numero.
Tom and Mary are looking for John.	Tom y Mary andan buscando a John.
Something is wrong with my watch.	Algo anda mal con mi reloj.
Why don't you go on ahead?	¿Por que no te adelantas?
Remove the bandage.	Saca el vendaje.
I need to get there soon by any means.	Necesito llegar ahi a como de lugar.
I'm not much of an actor.	No soy muy buen actor.
I'm on your side.	Estoy de tu lado.
We just gave up too soon.	Nos rendimos antes de la cuenta.
These cookies are star-shaped.	Estas galletas tienen forma de estrella.
The Jacksons are here.	Los Jackson estan aqui.
How many languages do you speak well?	¿Cuantos idiomas hablas bien?
Japanese is my mother tongue.	El japones es mi lengua materna.
He is much older than he looks.	El tiene mucha mas edad de la que aparenta.
Beethoven was a great composer.	Beethoven fue un gran compositor.
Don't put that away yet.	No quites eso aun.
I watched you.	Te observe.
I'm very cold.	Tengo mucho frio.
Will you go on a picnic with me?	¿Vienes conmigo de picnic?
Can you make it on time?	¿Alcanzas a hacerlo?
I think there's no point in trying to convince her.	Yo pienso que no sirve de nada intentar convencerle.
Give him my regards.	Dele recuerdos de mi parte.
His aim is to become a lawyer.	Su meta es ser abogado.
If you really want to know, all you need to do is ask.	Si realmente quieres saber, todo lo que tienes que hacer es preguntar.
I'll be lonely after you've gone.	Estare sola despues de que te vayas.
Tom can't stay.	Tom no puede quedarse.
You'll learn a lot here.	Aprenderas mucho aqui.
I assumed you were Canadian.	Supuse que eras canadiense.
She hit him.	Ella le golpeo.
All the apples are gone.	Desaparecieron todas las manzanas.
He was one of the leaders of the revolution.	Fue uno de los caudillos de la revolucion.
I have a fear of the dark.	Yo le temo a la oscuridad.
My father does not eat much fruit.	Mi padre no come muchas frutas.
Well, what do you want me to say?	Bueno, ¿que quieres que diga?
I also like painting.	Tambien me gusta pintar.
The bigger man often wins.	El mas grande frecuentemente gana.
Can we go?	¿Podemos ir?
Call your brother.	Llama a tu hermano.
She advised him to take the money.	Le aconsejo que tomara el dinero.
You don't have to answer.	No tenes que responder.
When do we arrive?	¿Cuando llegamos?
I'm your brother.	Soy tu hermano.
What did you come here for?	¿Para que viniste aqui?
Tom looks bored.	Tom se ve aburrido.
May I see a menu, please?	¿Me permite el menu, por favor?
Let's dine out for a change.	Cenemos fuera para variar.
The dog gave his leg a mean bite.	El perro le pego una mordidota a su pierna.
I can peel an apple.	Se pelar una manzana.
Tom stopped speaking.	Tom dejo de hablar.
I forgot your phone number.	Olvide tu numero de telefono.
He's digging his own grave.	El esta cavando su propia tumba.
I spent all the savings I had on this.	Gaste todos mis ahorros en esto.
I think we should do something stupid.	Pienso que deberiamos hacer algo estupido.
Tom arrived last.	Tom llego el ultimo.
Make your move.	Mueves tu.
Stand up when your name is called.	Parate cuando digan tu nombre.
I'd like to send this package to Japan.	Quisiera enviar este paquete a Japon.
She is a friend of mine.	Ella es una de mis amigas.
I wonder what his name is.	Me pregunto cual es su nombre.
Tom isn't currently in prison.	Tom no esta en prision por ahora.
I've already eaten.	Ya he comido.
They talked during the movie.	Ellos hablaban durante la pelicula.
Our teacher is a real idiot.	Nuestro maestro es un perfecto idiota.
The dog follows me wherever I go.	El perro me sigue a dondequiera que vaya.
Our fence is made of iron.	Nuestra reja es de hierro.
Please buy a few apples.	Por favor, compra algunas manzanas.
Something's going on here.	Algo esta pasando aca.
I was an idiot.	Era una idiota.
You're old enough to understand.	Eres suficientemente viejo para entender.
We can't live another day without water.	No podemos vivir sin agua un dia mas.
Why did he quit his job?	¿Por que renuncio a su trabajo?
I prefer spring to summer.	Prefiero la primavera al verano.
What didn't Tom want you to see?	¿Que queria Tom que no vieras?
This is your last chance.	Esta es tu ultima oportunidad.
I thought Tom had already talked to Mary about that.	Pense que Tom ya habia hablado con Maria al respecto.
The more I thought about the problem, the more difficult it seemed.	Mientras mas pienso en ese problema, mas dificil parece.
I've decided to do that by myself.	He decidido hacer eso sola.
Tom certainly had plenty of opportunities to go to concerts while he was in Boston.	Ciertamente Tom tuvo muchas oportunidades para ir a conciertos cuando estuvo en Boston.
She's a single mother.	Ella es una madre soltera.
I don't want to interrupt Tom.	No quiero interrumpir a Tomas.
Mary had a dream that she won the lottery.	Mary sono que se ganaba la loteria.
They love me.	Ellos me aman.
I want to ask you some questions.	Te quiero hacer algunas preguntas.
I want to go to college.	Quiero ir a la universidad.
Both of the brothers are still living.	Los dos hermanos aun viven.
I knew who he was.	Sabia quien era el.
Tom will deny everything.	Tom va a negar todo.
He's right behind you.	El esta justo detras de ti.
Hi, my name is Pekka. What is your name?	Hola, mi nombre es Pekka. ¿Cual es tu nombre?
Tom is not going to do it.	Tom no va a hacer eso.
We hope you'll enjoy your stay.	Esperamos que disfrute su estancia.
The dog sniffed the ground.	El perro olisqueo el suelo.
Tom wanted to know everything about Mary.	Tom queria saberlo todo sobre Mary.
Go to your room now!	¡Vete a tu habitacion ahora mismo!
Everyone cheered.	Hubo una aclamacion colectiva.
Tom didn't have to go to work today.	Tom no tuvo que ir a trabajar hoy.
At what age do you want to get married?	¿A que edad queres casarte?
Don't lean against this wall.	No te apoyes contra esta muralla.
This isn't fair.	Esto no es justo.
I have an appointment on Monday.	Tengo una cita el lunes.
Tom often drives too fast.	Tom a menudo conduce demasiado rapido.
Were you able to do that by yourself?	¿Era capaz de hacer eso por usted mismo?
I'm sure there's a better way to do that.	Estoy seguro de que hay una mejor manera de hacer eso.
Are we friends?	¿Somos amigos?
She made me laugh a lot.	Me hacia reir mucho.
You should eat something before you go.	Deberias comer algo antes de salir.
I don't like that fat kid who ate your lunch.	No me agrada ese chico gordo que se comio tu almuerzo.
Tom is bald, isn't he?	Tom esta calvo, ¿no?
I've been there twice.	He estado alli dos veces.
Tom lit the stove.	Tom encendio la cocina.
Help yourself to a piece of cake.	Sirvase un trozo de pastel.
The boy made a paper plane.	El nino hizo un avion de papel.
All right. It's a deal.	De acuerdo. Es un trato.
Tom is arrogant.	Tom es arrogante.
You've lost the ability to concentrate.	Has perdido la capacidad de concentrarte.
Tom said that he wanted to forget about what happened.	Tom dijo que queria olvidar lo que habia pasado.
I want some money.	Quiero algo de dinero.
I just want to let you know that I won't let you down.	Solo quiero hacerte saber que yo no te defraudare.
It's your turn to read.	Es tu turno de leer.
I admit it won't be easy.	Admito que no sera facil.
Please send me your latest catalogue.	Por favor envieme su ultimo catalogo.
I love listening to you guys.	Yo amo escucharlos a ustedes muchachos.
I don't like to travel with large groups.	No me gusta viajar con grupos grandes.
I'm double-parked. Could you hurry it up?	Estacione en doble fila. ¿Podrias apurarte?
Nobody likes being laughed at.	A nadie le gusta que se rian de el.
