como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
nunca cheguei a conhece-lo ,	i never got to meet him .
vezes demais , a historia e aquilo a que chamo o modelo de mount rushmore .	too often , i think history 's what i call the mount rushmore model .
bem , existe vida alem da terra no sistema solar ?	well , is there life beyond earth in the solar system ?
mas se existe energia escura , e a energia escura nao desaparece , o universo vai simplesmente continuar a expandir-se sempre , e sempre e sempre .	but if there 's dark energy , and the dark energy does not go away , the universe is just going to keep expanding forever and ever and ever .
de onde vem isto ?	so where did this come from ?
foram necessarias decadas antes que o termo buraco negro fosse cunhado e as pessoas se apercebessem que os buracos negros sao objetos astrofisicos reais — de facto sao o estado de morte de estrelas muito massivas que colapsam catastroficamente no final das suas vidas .	`` it was decades before the term `` '' black hole '' '' was coined and people realized that black holes are real astrophysical objects — in fact they 're the death state of very massive stars that collapse catastrophically at the end of their lifetime . ''
quero apenas realcar duas questoes que penso serem uteis .	i want to just point out two questions that i think are useful .
eu penso que , nao ha como uma crise para nos dizer o que e verdadeiramente importante e o que nao o e , e o sandy fez-me ver a importancia que os nossos aparelhos e a sua conectividade tem para nos e bem alta , ao nivel da comida e abrigo .	i think there 's nothing like a crisis to tell you what 's really important and what 's not , and sandy made me realize that our devices and their connectivity matter to us right up there with food and shelter .
( aplausos )	( applause )
a boa noticia e que nao somos desprovidos de poder .	the good thing is that we are not powerless .
entao porque nao comemos insectos ?	so why are we not eating insects yet ?
a camada de gelo arctico e , de certo modo , o coracao do sistema climaterico global .	the arctic ice cap is , in a sense , the beating heart of the global climate system .
mergulhar mais profundamente nisto com o conselho da ciencia e tecnologia da academia de artes e ciencias cinematograficas revela mais verdade por detras dos truques .	so digging deeper into this with the science and technology council of the academy of motion picture arts and sciences reveals some truth behind the trickery .
`` quando ele falava sobre as series , nao falava sobre o george jefferson de hollywood em `` '' the jeffersons '' '' ou na serie que estava no numero cinco da tabela . ''	`` and when he talked about the shows , he was n't talking about the hollywood , george jefferson in `` '' the jeffersons , '' '' or the show that was a number five show . ''
( risos ) mas se reordenarmos rapidamente esta formula , conseguimos chegar a aceleracao igual a forca sobre a massa , o que significa que para uma particula maior , uma massa maior , esta requer mais forca para mudar a sua direcao .	( laughter ) but if we rearrange this formula quickly , we can get to acceleration equals force over mass , which means that for a larger particle — a larger mass — it requires more force to change its direction .
e em vez de partilharem dinheiro , eles tornaram-se egoistas .	and instead of sharing money , they become selfish .
muito obrigado por inventares a economia comportamental .	thank you so much for inventing behavioral economics .
eu confrontei-os com um problema , que era montar um forum de eleicoes para a sua propria comunidade .	i posed a problem in front of them , which was to put on an election forum for their own community .
a area azul e onde sabemos que ele deve estar .	the blue area here is where we know it must be .
o pessoal da limpeza entra rapidamente , o corpo e retirado , ate parece que aquela pessoa nunca existiu .	cleaning crew swoops in , the body 's whisked away , and it all feels as though that person had never really existed .
e recapitulam aquela forma , mesmo sendo este um circulo de nove e este um circulo de 36. e de doidos !	and they recapitulate that shape , even though that 's a circle of nine and that 's a circle of 36. it 's nuts .
se morreram , que idade tinham e em que ano aconteceu ?	if they died , at what age and what year ?
infelizmente , foi desenhada como se fosse a sede de uma empresa , com um atrio central enorme e salas de aulas a volta , sem paredes a separar .	unfortunately , it was designed like a corporate headquarters , with a vast central atrium and classrooms leading off it with no back walls at all .
conseguem ver esta mao ?	see this hand ?
mas , de varias maneiras , esses desenhos microanatomicos de ramon y cajal , como este , ainda sao , de certa forma , insuperaveis .	but in many ways , these microanatomical drawings of ramon y cajal 's , like this one , they 're still in some ways unsurpassed .
nenhum destes esta na minha lista de desejos .	none of those are on my bucket list .
e o melhor de tudo e que encaixam com imas .	and the best part about it is they snap together with magnets .
bg : entao , foi um dos primeiros no brasil .	bg : so it was one of your first ones in brazil .
eles sao espertos .	they 're smart .
agite-no , e tem um casal lesbico .	shake it , and you have a lesbian couple .
parece adoentado .	it looks sickly .
e exatamente a mesma pergunta que me fizeram quando eu estava a arquitetar o plano	and that 's the exactly the same question i got when i was developing a plan to combat deforestation .
os membros eram encorajados a trazer as esposas , filhas e irmas aos encontros da associacao britanica , e enquanto se esperava que as mulheres assistissem apenas as palestras publicas e eventos sociais como este , elas comecaram tambem a infiltrar-se nas sessoes cientificas .	members were encouraged to bring their wives , daughters and sisters to the meetings of the british association , and while the women were expected to attend only the public lectures and the social events like this one , they began to infiltrate the scientific sessions as well .
e como que uma gramatica . sei o que vou fazer com ela e posso comecar a descreve-la . posso descreve-la de forma muito simples . posso descreve-la com os meus bracos , certo ?	it has a kind of a grammar . i know what i 'm going to do with it , and i can start to describe it , so i can describe it very simply . i can describe it in my arms , right ?
mr : agradeco-lhe mesmo muito , cynthia kenyon .	mr : thank you very much indeed , cynthia kenyon .
o mesmo e verdade para a tecnologia pessoal de adn , hoje .	and the same is true for personal dna technology today .
nao tem origem magmatica nem vulcanica , e , repito , a mais de 700 km do centro vulcanico mais proximo .	it 's neither magmatic or volcanic in origin , and again , over 700 kilometers away from the nearest volcanic center .
mas ha mais um problema .	ok , but there 's one more problem .
essas fibras nessa orientacao particular dao ao esqueleto um comportamento totalmente diferente .	those fibers in that particular orientation give the skeleton a very , very different behavior .
e tambem eles fazem referencia a como a uvula — tudo o que verbalizam e cadente , por causa do fruto proibido .	and also they reference how the uvula — everything they say is fallen because of the forbidden fruit .
e isso para mim seria um mau comeco da vida depois da morte , ter de testemunhar o proprio funeral e sentir-me satisfeito .	and that to me was a bad start to the afterlife , having to witness your own funeral and feel gratified .
porque os lideres do governo nas honduras necessitam de ajuda da parte dos paises parceiros , que poderao beneficiar dos paises parceiros que os ajudarao a estabelecer as regras neste fretamento assim como o seu reenforco , de modo que todos acreditem que o conceito fretado sera bem implementado .	because the leaders in the government there in honduras would need help from partner countries , who could benefit from partner countries who help them set up the rules in this charter and the enforcement , so everybody can trust that the charter really will be enforced .
e de longe a maior biblioteca de textos impressos no mundo .	it is , by far and away , the largest print library in the world .
mas , se calhar para mim , a parte principal , a longo prazo , e a ideia de pegarmos nas nossas proprias celulas estaminais com os nossos genes e o nosso ambiente , e imprimirmos os nossos medicamentos personalizados .	but perhaps for me the core bit going into the future is this idea of taking your own stem cells , with your genes and your environment , and you print your own personal medicine .
eu tinha quase cinco anos . e justo dizer que estou a divertir-me muito mais do que o pai natal .	i 'm almost five years old . fair to say , i 'm enjoying the day a lot more than santa was .
existe alguma coisa que as empresas possam fazer para que os seus colaboradores se sintam menos pressionados pelo tempo ? sim .	is there anything companies can do to make their employees feel less pressed for time ? yes .
entao , isto constitui um desafio para o proximo seculo .	and so , this makes this coming century a challenge .
como podem ver , esta e uma imagem de uma tigela de sopa .	you see that this is a picture of a bowl of soup .
`` `` '' se quiseres uma ideia nova , `` '' tens que abrir um livro antigo '' '' . e eu vou dizer que esse livro ja foi escrito . ''	`` he said , `` '' if you want a new idea , you should open an old book . '' '' and i 'm going to say that the book was written . ''
entao ela criou um grupo de apoio para pais como ela .	so she created a support group for parents like her .
entao para fazer isto piscar mais rapido ou mais devagar , podem girar este parafuso e basicamente faze-lo piscar mais rapido ou mais devagar .	so to make this blink faster or slower , you would just turn this knob and basically make it pulse faster or slower .
a palavra e essencialmente uma representacao abstracta , uma representacao totalmente arbitraria duma coisa que existe no mundo real , e isso e uma coisa que as criancas autistas tem uma dificuldade terrivel em perceber .	so it 's essentially a completely abstract , a completely arbitrary representation of something which is in the real world , and this is something that children with autism have an incredible amount of difficulty with .
quando os portugueses chegaram a america latina ha cerca de 500 anos , encontraram esta espantosa floresta tropical .	when the portuguese arrived in latin america about 500 years ago , they obviously found this amazing tropical forest .
e a sua maquina , que era tao grande como uma maquina de lavar , foi lancada a 13 de janeiro de 1976 .	and his machine , which was as big as a washing machine , was launched on the 13th of january , 1976 .
portanto esperemos que o que aconteca e nunca o usarmos e que seja uma heranca a deixar .	so hopefully what happens is you never use it , and it 's an heirloom that you pass down .
e aqui esta o trabalho de equipa outra vez .	so there 's that teamwork thing again .
`` `` '' sou uma pessoa como as outras '' '' . acho a resposta muito elucidativa , pois sugere que os circulos dos altruistas nao tem este aspeto , sao mais assim . ''	`` i 'm just the same as everybody else . '' '' and i think that 's actually a really telling answer , because it suggests that the circles of these altruists do n't look like this , they look more like this . ''
atualmente ha muitas formas de se ser infetado .	now there are many ways you can get infected .
relacionada com isto ha outra questao importante , que sao as lesoes causadas pelas injecoes .	now , related to this is another key issue , which is needlestick injuries .
pouco antes do seu 30º aniversario , em 1958 , yutaka taniyama suicidou-se .	and shortly before his 30th birthday in 1958 , yutaka taniyama killed himself .
tambem seria necessaria uma tremenda quantidade de energia .	these also require tremendous amounts of energy .
( risos ) obrigado .	( laughter ) thank you .
entao , ia a igreja tanto quanto podia .	so i went to church as often as i could .
ca : e durante o ano passado , conte-nos algo promissor que tenha presenciado .	ca : and in the last year , tell us one hopeful thing that you 've seen happening .
e que , por definicao , todos vos aqui neste auditorio tem de se considerar uma alma global , um cidadao global .	and by definition , every one of you who is in this room must consider yourself a global soul , a global citizen .
aquelas sao todas de facto especimes de borboletas verdadeiras .	those are actually all real butterfly specimens .
foi essencial para os avancos no tratamento do vih , nos anos 80 .	that was essential for advancing treatment for hiv in the late 1980s .
e lutar contra eles em campos de batalha contemporaneos .	it 's about fighting them on contemporary battlefields .
o que e que atrai as pessoas aos espacos publicos de sucesso ? o que e que acontece com locais sem sucesso que mantem as pessoas afastadas ?	what attracts people to successful public spaces , and what is it about unsuccessful places that keeps people away ?
agora , como e isso possivel ?	now how is that possible ?
podiamos tentar , mas e um problema de precisao .	it 's like , well , you can try that , but the problem is timing .
lembro-me de um homem idoso que gritava e chorava para que o ajudassemos a levantar-se .	i remembered an old man yelling to us and crying to help us get him up .
mas enquanto as operadoras telefonicas colocaram esta vigilancia como prioridade , as companhias de silicon valley nao .	but while the telephone companies have built surveillance as a priority , silicon valley companies have not .
investidores socialmente motivados . e uma ideia interessante , certo ?	socially motivated investors : there 's an interesting idea , right ?
mas precisamos de abandonar o nosso preconceito em falar sobre coco e chichi para podermos falar calmamente sobre como queremos reutilizar e o que nao queremos reutilizar .	but we need to separate our discomfort about talking about poo and pee so we can calmly talk about how we want to reuse it and what things we do n't want to reuse .
tanisha anderson .	tanisha anderson .
construi uma exposicao interactiva de quimica no museu de ciencia e industria em chicago , e esta exposicao permite que as pessoas usem objectos fisicos para pegar em elementos quimicos da tabela periodica e junta-los para produzir reaccoes quimicas .	i built an interactive chemistry exhibit at the museum of science and industry in chicago , and this exhibit lets people use physical objects to grab chemical elements off of the periodic table and bring them together to cause chemical reactions to happen .
chamamos ao projecto cara-a-cara ( face 2 face ) .	we called the project face 2 face .
eles sabem que eles podem controlar o seu mundo	they know they can control their world .
ca : e , finalmente , esta nova coisa que voce esta a propor nao e uma religiao mas outra coisa , precisa de um lider e voce esta a voluntariar-se para ser o papa ?	ca : and finally , does this new thing that you 're proposing that 's not a religion but something else , does it need a leader , and are you volunteering to be the pope ?
isto e uma pagina 404 .	the 404 page is that .
em 2001 , perguntamos a arabes e a muculmanos em geral , pelo mundo , o que mais admiravam no mundo ocidental .	as early as 2001 , we asked arabs , and muslims in general around the world , what they admired most about the west .
entao , num domingo solarengo , um homem entra na minha cabine de pagamento com uma bela caixa de joias .	so one sunday afternoon , a man walks into my cashier 's booth with this beautiful jewelry box .
o pib tem sido o nosso martelo .	gdp has been our hammer .
sera infeliz ? nao parece ser .	is it miserable ? it does n't seem to be .
aos 88 , ela tinha salvado 12 000 meninas e ela mudou a cultura do pais .	at 88 , she has saved 12,000 girls , and she has changed the culture in the country .
ora nos desistimos da ideia de sermoes .	now we 've given up with the idea of sermons .
e um sistema no qual existem dois tipos de posicoes ... aqueles que fazem erros e aqueles que nao fazem , aqueles que nao conseguem lidar com a privacao de sono e aqueles que conseguem , aqueles que tem maus resultados e aqueles que tem grandes resultados .	it 's a system in which there are two kinds of physicians — those who make mistakes and those who do n't , those who ca n't handle sleep deprivation and those who can , those who have lousy outcomes and those who have great outcomes .
e depois vao querer ficar num abrigo de 48 a 72 horas no minimo , mas vao esperar com esperanca — voces vao ter o pequeno radio de emergencia , e vao ficar a espera que alguem vos diga que e seguro sair la para fora . e isso que precisam de fazer .	and then you want to stay in shelter for 48 to 72 hours minimum , but you 're going to wait hopefully — you 'll have your little wind-up , battery-less radio , and you 'll be waiting for people to tell you when it 's safe to go outside . that 's what you need to do .
90 % dos fundos vieram da tailandia .	90 percent of the funding came from thailand .
portanto pensem no comp . ( registo eletronico e analise de dados )	so think about a cop .
e se nao acreditam em mim , perguntem a vossa operadora movel que informacao guardam sobre vos .	and if you do n't believe me , ask your phone company what information they store about you .
esquecemo-nos de todas as nossas frustracoes de classe media e as dececoes e sentimo-nos como milionarios .	we forget about all of our new middle-class frustrations and disappointments , and we feel like millionaires .
ok. a partir dai vou fazer algo completamente diferente .	okay . from there i 'm going to do a very different thing .
percorremos agora o mesmo caminho que estes artistas primitivos .	you now walk the same path as these early artists .
aqui esta o antes , e aqui esta o depois .	here 's the before , and here 's the after .
e o outro lado com que nos vamos envolver e aquele com quem nos discordamos profundamente .	and the other side which you 're going to engage is the one with whom you profoundly disagree .
a imagem e terrivel , mas rapidamente comecam a perceber que ela nao e real .	the image is terrifying , but you quickly come to understand it 's not real .
aqui esta o allan a ensinar um cirurgiao que fala ingles , em africa , estas habilidades fundamentais basicas necessarias para fazer cirurgias minimamente invasivas .	so here 's allan teaching an english-speaking surgeon in africa these basic fundamental skills necessary to do minimally invasive surgery .
o estado nao esta sozinho . existem muitos , muitos atores .	the state 's not alone . there are many , many actors .
mais uma vez , em testes iniciais , mas avancando para o futuro .	again , in early trials , but moving into the future .
as faculdades e universidades que investem nestes emprestimos securitizados lucram a dobrar .	and colleges and universities that invest in these securitized loans profit twice .
uma rapariga de 16 anos , a conceber uma experiencia de adn que protege a vida de astronautas , pode parecer coisa rara , marca de uma crianca prodigio .	a 16-year-old designing a dna experiment to protect the lives of astronauts may seem like a rarity , the mark of a child genius .
tambem ha limitacoes de tamanho . o cerebro humano tem que caber dentro do cranio , mas um computador pode ser do tamanho de um armazem ou ainda maior .	there are also size limitations , like a human brain has to fit inside a cranium , but a computer can be the size of a warehouse or larger .
o que nos fizemos foi , essencialmente , cancelar a gravidade e controlar o movimento combinando levitacao magnetica e atuacao mecanica e tecnologias de sensibilidade .	what we did was essentially canceling gravity and controlling the movement by combining magnetic levitation and mechanical actuation and sensing technologies .
considero-me uma ativista da saude nacional .	i think of myself as a national health activist .
a psicopatia e um disturbio do desenvolvimento com origens profundamente geneticas , que resulta numa personalidade fria e desinteressada com tendencia para comportamento antissocial e por vezes muito violento .	psychopathy is a developmental disorder with strongly genetic origins , and it results in a personality that 's cold and uncaring and a tendency to engage in antisocial and sometimes very violent behavior .
alguem os escreveu . hem ?	`` `` '' someone wrote them . '' '' hum ? ''
em londres , por exemplo , com estes extraordinarios edificios que tem vindo a aparecer nos ultimos anos .	in london , for example , with these extraordinary buildings that have been appearing over the last few years .
alguns especialistas acham que nao podemos resolver este problema porque nos faltam os conceitos e a inteligencia necessarios .	well , some experts think that we ca n't solve this problem because we lack the necessary concepts and intelligence .
enfim , os idosos nas sociedades tradicionais tem uma importancia enorme que jamais nos ocorreria nas nossas sociedades modernas e alfabetizadas , onde as nossas fontes de informacao sao os livros e a internet .	finally , older people in traditional societies have a huge significance that would never occur to us in our modern , literate societies , where our sources of information are books and the internet .
e eu sugeriria que e tempo de considerar um fundo de inovacao global que encontrasse estes empreendedores por todo o mundo que tem realmente inovacoes , nao so para o seu pais , mas aquelas que pudessemos utilizar tambem no mundo desenvolvido .	and i would submit that it 's time to consider a global innovation fund that would find these entrepreneurs around the world who really have innovations , not only for their country , but ones that we can use in the developed world as well .
querem ver como e ?	here 's what that looks like .
a este ritmo , estaremos nos 9 mil milhoes em 2040 .	at this rate , we 'll reach 9 billion people by 2040 .
e como seria fantastico poder dizer aos vossos netos que fizeram parte disso ?	and how cool would it be to tell your grandchildren that you were part of that ?
ele ensinou-me que a fisica e porreira visto que nos ensina tanto acerca do mundo a nossa volta .	so he taught me that physics is cool because it teaches us so much about the world around us .
e so trabalho , realidade , sangue , suor e nada de lagrimas .	it 's all job , all work , all reality , all blood , all sweat , no tears .
mudaram-se para uma casa perto de um parque .	moved to a house near a park .
80 % do mundo ja come insectos , somos , por isso , uma pequena minoria - num pais como o reino unido , os eua , a holanda , ou outro qualquer .	and then 80 percent of the world already eats insects , so we are just a minority — in a country like the u.k. , the usa , the netherlands , anywhere .
a europa , naquela altura , estava no meio da crise do euro e todas as manchetes eram sobre a desvalorizacao de paises europeus por agencias de notacao financeira nos estados unidos da america .	europe at the time was in the middle of the euro crisis , and all the headlines were about european countries getting downgraded by rating agencies in the united states .
mas o meu projecto preferido foi ha mais de 15 anos , quando fiz parte da equipa que fez o primeirissimo mapa preciso , tridimensional de uma superficie subterranea .	but my very favorite project of all was over 15 years ago , when i was a part of the team that made the very first accurate , three-dimensional map of a subterranean surface .
como podem ver , podemos criar qualquer mundo num computador .	as you can see , we can create any world that we want inside the computer .
jl : eu acho que toda a gente parece gostar mais da amy , ela e como um anjinho perfeito .	jl : i think it feels like everyone seems to like amy more , like she 's the perfect little angel .
criei entao a representacao abstrata disso mas ha muito mais coisas a acontecer abaixo da superficie desta historia , e ha muito mais coisas a acontecer abaixo da superficie do casaco .	so i created this sort of abstract representation of this , but there 's a lot more going on underneath the surface of the story , and there 's more going on underneath the surface of the jacket .
`` ha um filme do realizador canadiano denys arcand — leiam em ingles na pagina , `` '' dennis ar-cand , '' '' se quiserem procura-lo . ''	`` there 's a movie by the canadian film director denys arcand — read out in english on the page , `` '' dennis ar-cand , '' '' if you want to look him up . ''
mais alguma emocao nos ensina a observar com uma intensidade tao peculiar ?	does any other emotion teach us to look with such peculiar intensity ?
e no meio deste musculo , eles encontraram tecidos nervosos , muitos tecidos nervosos , na verdade penetram no musculo , penetram na submucosa , temos todos os elementos do sistema imunitario .	and between this muscle , they found nervous tissues , a lot of nervous tissues , which penetrate actually the muscle — penetrate the submucosa , where you have all the elements for the immune system .
isto e notavel , nao e ?	so this is really remarkable , right ?
`` e isso fez-me lembrar de um `` '' website '' '' do qual eu tinha ouvido falar uns meses antes , chamado change.org . ''	and that got me thinking about a website that i had learned about a few months prior called change.org .
`` `` '' qual e o significado desta nuvem fixa `` '' que paira sempre sobre este pedaco da selva ? ''	what is the significance of this stationary cloud that always hovers over this patch of jungle ?
e nao fazia a menor ideia de que essa pergunta se tornaria na base de tudo o que iria fazer .	and little did i realize that this question would become the basis of everything i would do .
nao ha solucao para a morte .	we ca n't solve for death .
e o hudson n.º 60 e interessante porque alberga cerca de meia duzia de redes importantes , que sao as redes que servem os cabos submarinos , estendidos no fundo do oceano e que ligam a europa e a america , e nos ligam uns aos outros .	and 60 hudson in particular is interesting because it 's home to about a half a dozen very important networks , which are the networks which serve the undersea cables that travel underneath the ocean that connect europe and america and connect all of us .
sim , e barato em termos comparativos .	yeah , it is cheap in comparison .
e isso tem todo o tipo de vantagens .	and that has all sorts of advantages .
nao queremos que eles sejam forcados a emigrar sem estarem preparados para isso .	we do n't want something to happen that they are forced to migrate without having been prepared to do so .
e isto e apenas nos cuidados de saude .	and that 's just in healthcare .
( risos ) a proxima artista e hazel clausen .	( laughter ) the next artist is hazel clausen .
acho que o nosso maior problema e a vontade de partilharmos os nossos dados .	i think the biggest problem that we face is our own willingness to share our data .
portanto , podia escrever esse conjunto de regras que traduzem essa representacao especial para o ingles ,	so i could actually write this set of rules that translates from this particular representation into english .
e lembra-me que , algumas vezes , a melhor forma de encontrar um bom design e apenas lancando-o .	and it reminds me that sometimes the best way to come up with a great design is just to launch it .
e isto acontece muito intensamente ao ponto de , mesmo que oucam falar de revolucoes hoje em dia , estas revolucoes ja nao estao relacionadas com ideologias ou ideias .	and you have this very strongly to the extent that , even if you see when we talk about revolutions these days , these revolutions are not named anymore around ideologies or ideas .
e se o nosso universo for atingido por outro , essa colisao podera gerar um sutil padrao adicional de variacao de temperatura atraves do espaco que nos poderemos um dia estarmos aptos para detectar .	and if our universe got hit by another , that collision would generate an additional subtle pattern of temperature variations across space that we might one day be able to detect .
`` `` '' uktubu '' '' — escreve , no imperativo . ''	`` `` '' uktub , '' '' write , in the imperative . ''
e e isso com que estou a contribuir agora para isto .	and that 's what i 'm now contributing to this .
e verdadeiramente fabulosa .	she 's very fabulous .
no mormonismo , acreditamos que , depois de morrermos , se tivermos mantido todas as regras e seguido todos os rituais , podemos estar juntos como uma familia novamente .	in mormonism , we believe that after you die , if you keep all the rules and you follow all the rituals , you can be together as a family again .
o que fizemos foi quase o que eu chamaria uma versao imatura duma marca de luxo que parecia um emblema num carro de luxo .	and so what we did was almost what i would call an immature version of a luxury brand that looked like a badge on a luxury car .
`` assim , somos informados de que `` '' a minha misericordia engloba todas as coisas '' '' . assim , somos informados de que `` '' a minha misericordia prevalece sobre a minha ira . '' '' que possamos todos receber a graca da misericordia . ''	`` thus we are told that `` '' my mercy encompasses all things . '' '' thus we are told that `` '' my mercy takes precedence over my anger . '' '' may we all be granted a grace of mercy . ''
ha muitas pessoas que me ajudaram na minha vida , e muitas que nao conheci .	there are many people who have helped me in my life , and many that i have n't met .
bem , primeiro ouvimos o que e conhecido como uma negacao nao-contraida .	well first we heard what 's known as a non-contracted denial .
portanto , os precos irao descer para os niveis de hoje , e os custos de utilizacao serao , desde o inicio , muito mais baixos .	so sticker prices will ultimately fall to about the same as today , while the driving cost , even from the start , is very much lower .
mk : bem , este e o cao de assistencia da gabby , o nelson	mk : well , that 's gabby 's service dog nelson .
as salamandras tem a capacidade de se regenerarem .	salamanders have this amazing capacity to regenerate .
consiste em duas partes , a que chamamos um codificador e um transdutor .	so it consists of two parts , what we call an encoder and a transducer .
essas ondas gravitacionais na estrutura do espaco sao totalmente invisiveis , para todos os efeitos .	those gravitational waves in the structure of space are totally invisible for all practical purposes .
vamos comecar a olhar para o que acontece quando a fonte de informacao e desligada , como uma fome ?	are we going to start looking at what happens when your information source is turned off , as a famine ?
quando ouvimos dizer abiola , recordamos eleicoes anuladas e pensamos : esperancas frustradas .	when you hear abiola , you remember annulled elections and you think : dashed hopes .
estamos a dizer a cada unidade se deve virar a direita ou a esquerda .	you 're telling each unit if it should turn right or left .
e realmente uma confluencia do crescimento da populacao urbana , da perda da biodiversidade , e tambem , claro , do aumento dos niveis dos oceanos e das mudancas climaticas .	and it 's really a conflux of urban population rising , biodiversity plummeting and also , of course , sea levels rising and climate changing .
disse-nos para lhe pagarmos , mas nao falavamos ingles .	and he tells us to pay , but we do n't speak english .
portanto , as religioes sao culturas de repeticao .	so religions are cultures of repetition .
aqui , estou a explicar como e que um computador usa a gramatica inglesa para analisar frases , e aqui , ha uma pausa e o aluno tem que reflectir , compreender os conteudos e seleccionar as caixas certas antes de seguir em frente .	here , i 'm explaining how a computer uses the grammar of english to parse sentences , and here , there 's a pause and the student has to reflect , understand what 's going on and check the right boxes before they can continue .
as pessoas que apanhavam infecoes ou se curavam , se tivessem sorte , ou morriam .	people who got infections either recovered , if they were lucky , or they died .
ao reunir os cidadaos , ajudamos a persuadir o nosso governo a fazer o impensavel , a agir e a resolver um problema a milhas de distancia .	by rallying citizens together , we helped persuade our government to do the unthinkable , and act to fix a problem miles outside of our borders .
deem as boas-vindas a nana vasconcelos .	please welcome nana vasconcelos .
os niveis basais sao proximos de zero , sem algum estimulo que provoque a sua libertacao .	baseline levels are near zero , without some stimulus to cause its release .
mas os meus pais nao sabiam que isto estava a acontecer .	but neither of my parents knew this was happening .
o que leva os homens a apoiar o emprego das mulheres e o emprego dos homens , o seu nivel de educacao assim como uma pontuacao elevada do seu pais no indice de desenvolvimento humano das nacoes unidas .	what drives men 's support for women 's employment is men 's employment , their level of education as well as a high score on their country 's u.n. human development index .
por outras palavras , esse risco no quarto de acre tinha de ser reembolsado numa unica colheita . ou eles nao aceitariam o risco .	in other words , that risk on the quarter acre needed to be repaid in a single harvest , or else they would n't take the risk .
esquecemo-nos , mas o modulo lembrava-se .	now , we forgot , but the lander knew .
e a empatia que nos faz ajudar as outras pessoas .	it 's empathy that makes us help other people .
ficam ainda mais chocados com o que ele diz .	they 're even more shocked by what he says .
os jornalistas locais sao os nossos mentores .	our local journalists are our mentors .
agora podem ver um pouco de como tiramos algumas destas fotografias .	now you can also see a little bit how we did some of these shots .
esta tecnologia permite-nos ir mais fundo do que poderiamos ter imaginado sequer ha 10 anos .	this technology enables us to go deeper than we could 've imagined even 10 years ago .
e se , em vez de apenas experimentarem visitar alguma realidade na terra , voces pudessem surfar ondas gravitacionais no limite de um buraco negro , ou pudessem criar galaxias do nada , ou pudessem comunicar uns com os outros sem usar palavras , usando o pensamento ?	what if instead of just experiencing visiting some reality on earth , you could surf gravitational waves on the edge of a black hole , or create galaxies from scratch , or communicate with each other not using words but using our raw thoughts ?
um biliao de pessoas depende do peixe para a sua principal fonte de proteina animal .	a billion people depend on fish for their main source for animal protein .
resultante do medo — — medo de , bem , e se eles falharem ?	and it was out of fear — fear of , well , what if they get it wrong ?
( aplausos ) .	( applause )
se tal suceder , poderemos ter esperanca de que o que vos mostrei com ratos podera tambem funcionar com pessoas .	and if that 's the case , that could give us hope that what i showed you works in mice might also work in humans .
isto e um desenho tecnico de como vigiar uma sociedade , porque sabe-se quem fala com quem , quem envia e-mails a quem ; tudo isto e possivel se tiverem acesso a esta informacao .	this is a blueprint how to survey your society , because you know who talks to whom , who sends whom an email , all this is possible if you have access to this information .
isto claro evita que muitos doentes tenham de fazer viagens longas , arduas , caras e muitas vezes inuteis , ate esses hospitais , e torna-se muito mais provavel que os seus coracoes sejam verificados .	and this of course saves many patients from making long , arduous , expensive and often pointless journeys to those hospitals , and makes it much , much likelier that their hearts will actually be checked .
se , por outro lado , falarem uma lingua sem futuro , falam sobre o presente e o futuro da mesma forma .	if , on the other hand , you speak a futureless language , the present and the future , you speak about them identically .
ele precisava delas para se sentir protegido .	he needed them to feel protected .
`` e estao num restaurante , e dizem , `` '' bem , que idade tens ? '' '' e ela diz , `` '' tenho 60 . '' '' e assim . e nunca iriam adivinhar . ''	`` and you 're in a restaurant , and you say , `` '' well how old are you ? '' '' she says , `` '' i 'm 60 . '' '' that 's what it 's like . and you would never know . ''
entao comecei um projeto de investigacao com eles .	so i started a research project with them .
`` encontrei o `` '' site '' '' do morgan e enviei-lhe uma mensagem , a perguntar se algum dos seus romances espanhois tinham sido traduzidos para ingles . ''	i found morgan 's website and i sent him a message , asking if any of his spanish-language novels had been translated into english .
resume-se apenas a central nuclear de bushehr e a central de enriquecimento de combustiveis de natanz .	it basically boils down to the bushehr nuclear power plant and to the natanz fuel enrichment plant .
no ultimo minuto , vamos ser salvos tal como em todos os filmes de hollywood , tal como no arrebatamento .	at the very last minute , we are going to get saved just like in every hollywood movie , just like in the rapture .
por isso nao importa de onde sao nem que idade tem , e mesmo evocativo .	and it does n't really matter where you 're from or what age you are — it 's really evocative .
`` a cara feia e isto , quando ficamos cara a cara com um cachorro ou crianca , e dizemos : `` '' o que estas a fazer ? para ja com isso , para , para ! '' '' e eu pensei : `` '' oh meu deus , o que e que faco ? '' '' aquela crianca perdeu tudo , uma das duas pessoas em quem ele pode confiar neste mundo puxou-lhe o tapete debaixo dos pes . ''	`` and ugly face is this — when you go face-to-face with a puppy or a child , you say , `` '' what are you doing ! now stop it , stop it , stop it ! '' '' and i went , `` '' oh my god , do i do something ? '' '' that child has lost everything — that one of the two people he can trust in this world has absolutely pulled the rug from under his feet . ''
e alguns dias mais tarde , de regresso a casa apos a lua-de-mel , ele ficou frustrado com o transito e atirou-me com um big mac frio a cara .	and then a few days later , driving home from our honeymoon , he got frustrated by traffic , and he threw a cold big mac in my face .
